case_id,material_changing,group_changing,slope_up,cut_time
case_0109,1,1,-0.12194,0.1541
case_0110,3,1,-0.27885,0.2466
case_0111,3,1,-0.27697,0.1684
case_0112,3,1,-0.06192,0.1047
case_0113,1,1,-0.07696,0.1337
case_0114,3,2,-0.07794,0.1788
case_0115,1,1,-0.14505,0.3553
case_0116,3,2,-0.14078,0.3362
case_0117,1,1,-0.24069,0.1573
case_0118,3,1,-0.11993,0.1885
case_0119,3,2,-0.25509,0.3953
case_0120,3,2,-0.02393,0.2730
case_0121,3,2,-0.09347,0.1604
case_0122,3,1,-0.08009,0.1837
case_0123,3,1,-0.23288,0.3349
case_0124,3,2,-0.17646,0.2497
case_0125,1,1,-0.05015,0.3905
case_0126,3,2,-0.17137,0.2023
case_0127,1,2,-0.08045,0.2274
case_0128,1,2,-0.07859,0.1151
case_0129,1,1,-0.17476,0.3304
case_0130,3,1,-0.16720,0.3772
case_0131,1,2,-0.18706,0.3260
case_0132,3,1,-0.06176,0.3959
case_0133,1,1,-0.15680,0.1326
case_0134,1,2,-0.05500,0.3571
case_0135,1,1,-0.03226,0.2336
case_0136,1,1,-0.01474,0.2648
case_0137,1,2,-0.19134,0.3048
case_0138,3,2,-0.23204,0.2068
case_0139,3,1,-0.17361,0.1734
case_0140,1,1,-0.07429,0.1735
case_0141,3,1,-0.01979,0.1405
case_0142,1,1,-0.12355,0.2141
case_0143,1,1,-0.11974,0.3212
case_0144,3,1,-0.27990,0.1082
case_0145,1,1,-0.09898,0.2262
case_0146,3,1,-0.12738,0.2690
case_0147,1,1,-0.08324,0.2506
case_0148,1,2,-0.07342,0.2289
case_0149,1,2,-0.04399,0.1769
case_0150,3,2,-0.02153,0.1751
case_0151,1,1,-0.29851,0.2879
case_0152,1,1,-0.24569,0.2970
case_0153,3,2,-0.06428,0.1630
case_0154,1,2,-0.19953,0.1090
case_0155,1,1,-0.22922,0.1720
case_0156,1,1,-0.12018,0.1199
case_0157,1,2,-0.27567,0.3254
case_0158,1,2,-0.18089,0.3845
case_0159,1,2,-0.18943,0.2869
case_0160,3,2,-0.14265,0.1207
case_0161,3,2,-0.11960,0.1146
case_0162,1,1,-0.12703,0.1854
case_0163,1,1,-0.29502,0.2492
case_0164,3,1,-0.15220,0.2337
case_0165,3,1,-0.05314,0.3574
case_0166,3,2,-0.06560,0.2792
case_0167,1,1,-0.29172,0.3562
case_0168,1,1,-0.09583,0.3690
case_0169,1,2,-0.03253,0.3730
case_0170,1,2,-0.14946,0.2973
case_0171,1,2,-0.02565,0.3473
case_0172,1,2,-0.11828,0.1106
case_0173,1,2,-0.02637,0.3396
case_0174,1,2,-0.25246,0.2229
case_0175,3,1,-0.19081,0.2522
case_0176,3,1,-0.16347,0.1674
case_0177,3,2,-0.04775,0.2681
case_0178,1,1,-0.19128,0.1884
case_0179,1,2,-0.19219,0.2313
case_0180,1,2,-0.27668,0.3620
case_0181,3,1,-0.11887,0.1846
case_0182,1,2,-0.23053,0.1556
case_0183,3,2,-0.18511,0.1474
case_0184,3,1,-0.28867,0.1800
case_0185,1,1,-0.29378,0.2252
case_0186,3,2,-0.04749,0.3131
case_0187,1,2,-0.02447,0.2753
case_0188,1,2,-0.05155,0.3786
case_0189,3,1,-0.11812,0.3193
case_0190,1,2,-0.06940,0.2813
case_0191,3,2,-0.14434,0.2950
case_0192,3,1,-0.27625,0.2968
case_0193,3,2,-0.04237,0.3547
case_0194,1,2,-0.29299,0.1510
case_0195,3,1,-0.18785,0.3580
case_0196,3,2,-0.17490,0.1799
case_0197,3,2,-0.21084,0.3359
case_0198,1,1,-0.11517,0.1251
case_0199,1,1,-0.07324,0.1292
case_0200,1,2,-0.29806,0.3191
case_0201,1,2,-0.15034,0.2026
case_0202,3,1,-0.13506,0.1050
case_0203,1,1,-0.17349,0.2034
case_0204,1,1,-0.07080,0.2082
case_0205,3,2,-0.23821,0.2142
case_0206,1,2,-0.09449,0.1599
case_0207,1,1,-0.16585,0.3981
case_0208,3,1,-0.28318,0.3713
case_0209,1,1,-0.29021,0.1983
case_0210,1,2,-0.26499,0.1378
case_0211,1,1,-0.04068,0.3248
case_0212,3,1,-0.10663,0.3950
case_0213,3,1,-0.08203,0.2178
case_0214,3,2,-0.28386,0.2069
case_0215,1,2,-0.06691,0.3312
case_0216,3,1,-0.10226,0.2126
case_0217,3,2,-0.01127,0.1922
case_0218,3,2,-0.23170,0.3331
case_0219,3,2,-0.19623,0.2258
case_0220,1,2,-0.24747,0.2313
case_0221,1,2,-0.29109,0.2935
case_0222,1,1,-0.20265,0.2662
case_0223,3,1,-0.13119,0.2582
case_0224,1,1,-0.24456,0.1039
case_0225,3,1,-0.22196,0.3723
case_0226,3,2,-0.11302,0.2882
case_0227,1,1,-0.23988,0.2714
case_0228,1,2,-0.17973,0.1909
case_0229,1,1,-0.15887,0.2340
case_0230,1,1,-0.18747,0.1469
case_0231,1,1,-0.28584,0.2003
case_0232,3,1,-0.08532,0.1695
case_0233,1,2,-0.27000,0.1539
case_0234,3,1,-0.24155,0.2399
case_0235,1,2,-0.02754,0.3441
case_0236,1,2,-0.14102,0.3739
case_0237,1,2,-0.27551,0.3490
case_0238,1,2,-0.07954,0.2162
case_0239,3,1,-0.20250,0.2591
case_0240,3,1,-0.08378,0.3029
case_0241,1,2,-0.03166,0.3448
case_0242,1,2,-0.19836,0.1051
case_0243,1,1,-0.26827,0.2758
case_0244,1,1,-0.06254,0.3982
case_0245,3,1,-0.16713,0.2109
case_0246,3,2,-0.20691,0.2391
case_0247,3,1,-0.19918,0.2325
case_0248,1,2,-0.03155,0.3605
case_0249,1,2,-0.24032,0.1882
case_0250,1,2,-0.20659,0.1300
case_0251,1,1,-0.10873,0.3599
case_0252,3,2,-0.18050,0.2046
case_0253,3,1,-0.12341,0.2537
case_0254,3,1,-0.03559,0.3093
case_0255,1,2,-0.20809,0.3919
case_0256,1,1,-0.06999,0.1639
case_0257,3,1,-0.21554,0.1062
case_0258,1,1,-0.21933,0.3602
case_0259,3,1,-0.11649,0.2099
case_0260,1,2,-0.21185,0.1952
case_0261,3,2,-0.24452,0.3912
case_0262,1,2,-0.27352,0.2874
case_0263,1,1,-0.16700,0.1664
case_0264,1,1,-0.25873,0.3386
case_0265,1,1,-0.04647,0.2193
case_0266,1,2,-0.04741,0.3895
case_0267,1,2,-0.03379,0.3965
case_0268,1,1,-0.27587,0.2364
case_0269,3,1,-0.19807,0.2359
case_0270,1,2,-0.29443,0.3768
case_0271,3,2,-0.03529,0.1181
case_0272,1,1,-0.04444,0.3861
case_0273,1,2,-0.21888,0.2722
case_0274,1,2,-0.24549,0.2197
case_0275,3,1,-0.02829,0.3163
case_0276,1,2,-0.12549,0.3002
case_0277,3,1,-0.17063,0.3087
case_0278,3,1,-0.22156,0.1411
case_0279,1,2,-0.08710,0.2784
case_0280,3,1,-0.12861,0.1058
case_0281,1,1,-0.14609,0.3462
case_0282,3,1,-0.12489,0.3328
case_0283,3,1,-0.08819,0.3432
case_0284,3,2,-0.09027,0.2147
case_0285,3,2,-0.25601,0.1749
case_0286,3,1,-0.06432,0.3665
case_0287,3,1,-0.25406,0.2996
case_0288,3,2,-0.22088,0.2594
case_0289,3,2,-0.09007,0.2768
case_0290,3,1,-0.20154,0.2512
case_0291,1,2,-0.08373,0.3356
case_0292,3,1,-0.16230,0.2799
case_0293,3,2,-0.29349,0.2949
case_0294,1,1,-0.29226,0.1585
case_0295,3,2,-0.07816,0.3902
case_0296,3,1,-0.23496,0.2244
case_0297,3,1,-0.01570,0.1156
case_0298,1,1,-0.08615,0.2065
case_0299,3,1,-0.02982,0.1138
case_0300,3,1,-0.17275,0.3111
case_0301,1,2,-0.19699,0.1966
case_0302,3,1,-0.12211,0.3338
case_0303,1,2,-0.26055,0.3112
case_0304,1,1,-0.21059,0.1312
case_0305,1,2,-0.25708,0.1831
case_0306,3,2,-0.22243,0.2774
case_0307,1,1,-0.02016,0.3154
case_0308,3,2,-0.19065,0.1110
case_0309,1,1,-0.06544,0.1056
case_0310,3,1,-0.13736,0.1550
case_0311,3,2,-0.24694,0.2045
case_0312,3,1,-0.26183,0.1042
case_0313,1,2,-0.21051,0.2022
case_0314,3,2,-0.09924,0.3859
case_0315,1,1,-0.11544,0.3108
case_0316,3,2,-0.24280,0.1501
case_0317,3,2,-0.24525,0.2911
case_0318,3,1,-0.07915,0.1097
case_0319,1,2,-0.09634,0.2547
case_0320,1,2,-0.08087,0.3136
case_0321,1,1,-0.05596,0.2215
case_0322,3,2,-0.27020,0.1040
case_0323,3,1,-0.02254,0.1762
case_0324,3,2,-0.07780,0.3156
case_0325,3,2,-0.28003,0.1202
case_0326,1,2,-0.24491,0.1359
case_0327,1,2,-0.08102,0.3355
case_0328,3,1,-0.05115,0.2953
case_0329,3,1,-0.07560,0.3809
case_0330,1,1,-0.18392,0.3777
case_0331,3,1,-0.01717,0.1939
case_0332,1,1,-0.18531,0.3301
case_0333,3,2,-0.18408,0.2518
case_0334,1,1,-0.15130,0.3502
case_0335,1,2,-0.29764,0.1644
case_0336,3,2,-0.14993,0.1562
case_0337,1,2,-0.24442,0.2674
case_0338,1,2,-0.23430,0.3015
case_0339,1,2,-0.16435,0.2169
case_0340,3,2,-0.07467,0.3575
case_0341,3,2,-0.08391,0.2170
case_0342,3,1,-0.20224,0.3435
case_0343,1,2,-0.12808,0.2883
case_0344,3,2,-0.27014,0.1597
case_0345,3,1,-0.09442,0.2896
case_0346,1,2,-0.13767,0.3577
case_0347,1,2,-0.06915,0.3388
case_0348,3,2,-0.29561,0.3939
case_0349,3,1,-0.07347,0.1721
case_0350,3,1,-0.24834,0.3325
case_0351,1,2,-0.27864,0.2149
case_0352,3,1,-0.04995,0.2587
case_0353,1,1,-0.16830,0.1977
case_0354,1,2,-0.06655,0.1600
case_0355,1,1,-0.15688,0.3200
case_0356,1,1,-0.20839,0.1721
case_0357,3,2,-0.23402,0.3243
case_0358,3,1,-0.17034,0.2281
case_0359,3,1,-0.18129,0.2988
case_0360,3,2,-0.26993,0.3299
case_0361,1,2,-0.10573,0.1557
case_0362,1,2,-0.13078,0.3783
case_0363,3,1,-0.08271,0.3815
case_0364,1,1,-0.15457,0.3125
case_0365,3,1,-0.14585,0.1425
case_0366,3,2,-0.17342,0.3532
case_0367,1,2,-0.28568,0.3861
case_0368,1,2,-0.20797,0.3595
case_0369,3,2,-0.05557,0.2830
case_0370,3,2,-0.10859,0.2471
case_0371,3,1,-0.01166,0.2189
case_0372,1,2,-0.12610,0.2358
case_0373,1,2,-0.28238,0.2701
case_0374,1,1,-0.06293,0.1698
case_0375,3,2,-0.19575,0.1343
case_0376,3,1,-0.05187,0.3584
case_0377,1,1,-0.18346,0.2298
case_0378,1,2,-0.17573,0.2718
case_0379,1,1,-0.20051,0.1383
case_0380,1,2,-0.20896,0.3106
case_0381,3,2,-0.22286,0.2613
case_0382,1,2,-0.26393,0.3024
case_0383,1,2,-0.28087,0.2308
case_0384,3,1,-0.29669,0.1210
case_0385,1,2,-0.15058,0.1174
case_0386,1,2,-0.14916,0.1381
case_0387,3,2,-0.26378,0.2246
case_0388,3,1,-0.12636,0.2844
case_0389,1,1,-0.25714,0.3676
case_0390,1,1,-0.17827,0.1437
case_0391,3,1,-0.16521,0.1963
case_0392,3,1,-0.03571,0.3988
case_0393,3,2,-0.09808,0.3342
case_0394,3,1,-0.14206,0.2644
case_0395,3,1,-0.09967,0.2750
case_0396,3,2,-0.06985,0.1248
case_0397,3,1,-0.17737,0.2969
case_0398,3,2,-0.29138,0.1783
case_0399,1,2,-0.07243,0.3655
case_0400,1,2,-0.13865,0.1874
case_0401,1,2,-0.03918,0.1745
case_0402,1,1,-0.28106,0.1921
case_0403,1,2,-0.01687,0.2016
case_0404,1,2,-0.25130,0.2939
case_0405,1,1,-0.08632,0.1234
case_0406,1,1,-0.16191,0.1572
case_0407,1,1,-0.19504,0.1800
case_0408,1,1,-0.05536,0.3178
case_0409,3,1,-0.24117,0.2667
case_0410,3,1,-0.17708,0.3363
case_0411,3,1,-0.23489,0.1322
case_0412,1,2,-0.22851,0.1663
case_0413,3,2,-0.15761,0.2668
case_0414,1,2,-0.25774,0.2583
case_0415,3,2,-0.11676,0.2660
case_0416,1,2,-0.27604,0.2342
case_0417,3,2,-0.14829,0.2055
case_0418,1,1,-0.26935,0.3333
case_0419,3,1,-0.03864,0.3068
case_0420,1,1,-0.15876,0.2251
case_0421,3,1,-0.13238,0.2053
case_0422,1,2,-0.09384,0.3530
case_0423,1,2,-0.04399,0.2015
case_0424,1,2,-0.02808,0.3049
case_0425,1,2,-0.03987,0.3179
case_0426,3,1,-0.13502,0.2146
case_0427,3,1,-0.02545,0.3678
case_0428,3,1,-0.05344,0.2173
case_0429,3,1,-0.12255,0.1396
case_0430,3,1,-0.20627,0.2913
case_0431,1,1,-0.17885,0.1356
case_0432,3,1,-0.19991,0.3361
case_0433,3,1,-0.23155,0.3185
case_0434,3,2,-0.07611,0.2957
case_0435,1,1,-0.24948,0.1273
case_0436,3,1,-0.08289,0.3045
case_0437,3,2,-0.19523,0.2040
case_0438,1,2,-0.12125,0.2377
case_0439,3,1,-0.19785,0.1685
case_0440,3,1,-0.22068,0.3262
case_0441,1,1,-0.25720,0.3093
case_0442,1,2,-0.27061,0.3941
case_0443,3,1,-0.18893,0.2809
case_0444,1,2,-0.01608,0.3417
case_0445,3,1,-0.06797,0.3812
case_0446,1,2,-0.13370,0.2940
case_0447,3,2,-0.08842,0.1757
case_0448,3,1,-0.20103,0.3457
case_0449,3,2,-0.26078,0.2797
case_0450,1,2,-0.03760,0.2639
case_0451,1,1,-0.04298,0.2741
case_0452,3,1,-0.11615,0.1032
case_0453,3,1,-0.25127,0.3910
case_0454,3,2,-0.24615,0.2287
case_0455,3,2,-0.21157,0.2072
case_0456,3,2,-0.17075,0.3740
case_0457,3,2,-0.08778,0.3426
case_0458,1,1,-0.14370,0.3055
case_0459,3,1,-0.15024,0.2005
case_0460,1,2,-0.19422,0.2735
case_0461,1,2,-0.10457,0.1640
case_0462,3,1,-0.10938,0.3400
case_0463,1,2,-0.20722,0.2569
case_0464,1,2,-0.19726,0.2477
case_0465,1,1,-0.05712,0.1684
case_0466,3,1,-0.21325,0.3641
case_0467,3,2,-0.13961,0.1263
case_0468,1,1,-0.12310,0.1924
case_0469,3,1,-0.20440,0.2426
case_0470,1,1,-0.22730,0.1169
case_0471,3,2,-0.23579,0.2494
case_0472,1,2,-0.04017,0.3382
case_0473,1,1,-0.22791,0.1443
case_0474,3,1,-0.04628,0.1088
case_0475,1,1,-0.27395,0.3773
case_0476,1,1,-0.16689,0.2753
case_0477,1,1,-0.02520,0.2555
case_0478,3,1,-0.29360,0.1758
case_0479,3,2,-0.20182,0.3866
case_0480,3,2,-0.16821,0.1711
case_0481,3,2,-0.01185,0.1436
case_0482,1,2,-0.02694,0.3209
case_0483,3,1,-0.05840,0.3785
case_0484,3,2,-0.29788,0.3141
case_0485,3,1,-0.17197,0.3699
case_0486,1,2,-0.25756,0.2893
case_0487,3,2,-0.15266,0.2216
case_0488,1,2,-0.04044,0.2140
case_0489,3,2,-0.19047,0.3132
case_0490,3,2,-0.08973,0.2588
case_0491,3,1,-0.11429,0.2418
case_0492,3,2,-0.21317,0.3533
case_0493,3,2,-0.08236,0.1102
case_0494,1,2,-0.17620,0.2234
case_0495,3,2,-0.11740,0.2791
case_0496,3,2,-0.26682,0.1486
case_0497,1,2,-0.05883,0.3555
case_0498,3,1,-0.15101,0.1461
case_0499,1,1,-0.29582,0.3664
case_0500,3,1,-0.24381,0.3351
case_0501,1,1,-0.19597,0.1162
case_0502,3,1,-0.15706,0.3698
case_0503,3,2,-0.10264,0.2676
case_0504,3,2,-0.08472,0.1950
case_0505,3,1,-0.10955,0.3899
case_0506,1,1,-0.11178,0.3392
case_0507,3,2,-0.19365,0.2640
case_0508,1,2,-0.04421,0.3964
case_0509,1,2,-0.04093,0.2670
case_0510,3,1,-0.27158,0.1470
case_0511,1,1,-0.07230,0.3399
case_0512,3,2,-0.03140,0.2978
case_0513,3,1,-0.14457,0.2137
case_0514,1,1,-0.03278,0.2330
case_0515,1,1,-0.16626,0.1843
case_0516,1,1,-0.10838,0.3524
case_0517,1,2,-0.09167,0.2990
case_0518,3,2,-0.26608,0.2424
case_0519,1,1,-0.08741,0.2943
case_0520,1,1,-0.10153,0.1424
case_0521,1,1,-0.05074,0.3545
case_0522,3,1,-0.24673,0.1197
case_0523,3,2,-0.22192,0.2355
case_0524,1,2,-0.05806,0.1716
case_0525,3,1,-0.05920,0.2795
case_0526,1,1,-0.29989,0.1023
case_0527,1,1,-0.03540,0.2630
case_0528,3,1,-0.04157,0.1564
case_0529,3,2,-0.15323,0.3638
case_0530,3,2,-0.03078,0.2132
case_0531,3,2,-0.22450,0.3544
case_0532,1,1,-0.15269,0.1027
case_0533,3,1,-0.18165,0.3833
case_0534,3,2,-0.01802,0.3061
case_0535,3,1,-0.06133,0.2056
case_0536,3,2,-0.09364,0.1655
case_0537,1,2,-0.10432,0.2225
case_0538,3,1,-0.12557,0.1474
case_0539,1,2,-0.27206,0.1713
case_0540,1,1,-0.07962,0.2744
case_0541,1,2,-0.26360,0.2948
case_0542,1,2,-0.05055,0.1850
case_0543,1,1,-0.03767,0.2876
case_0544,3,1,-0.02928,0.1651
case_0545,1,2,-0.09780,0.3187
case_0546,3,2,-0.18341,0.1114
case_0547,3,2,-0.20165,0.2207
case_0548,1,1,-0.21021,0.2314
case_0549,3,2,-0.06059,0.2571
case_0550,1,1,-0.06216,0.1754
case_0551,3,1,-0.05323,0.2905
case_0552,3,1,-0.22026,0.2610
case_0553,1,1,-0.29448,0.2191
case_0554,1,1,-0.16536,0.1712
case_0555,1,2,-0.11164,0.2558
case_0556,3,2,-0.18240,0.3047
case_0557,3,1,-0.18441,0.3879
case_0558,3,2,-0.22904,0.1227
case_0559,1,2,-0.10605,0.1385
case_0560,3,1,-0.05834,0.3759
case_0561,3,2,-0.11632,0.1124
case_0562,3,2,-0.06511,0.3423
case_0563,3,2,-0.29554,0.1472
case_0564,1,1,-0.28049,0.3818
case_0565,3,2,-0.17269,0.1972
case_0566,3,1,-0.29647,0.1551
case_0567,1,2,-0.08335,0.2589
case_0568,1,2,-0.01535,0.3642
case_0569,1,2,-0.05437,0.1067
case_0570,3,2,-0.03904,0.2267
case_0571,3,2,-0.16952,0.1889
case_0572,1,1,-0.18866,0.3914
case_0573,3,2,-0.22411,0.3890
case_0574,1,1,-0.29933,0.3094
case_0575,3,2,-0.06718,0.2870
case_0576,3,1,-0.06961,0.2059
case_0577,3,2,-0.09155,0.3403
case_0578,3,1,-0.03628,0.2715
case_0579,3,1,-0.22439,0.1979
case_0580,1,2,-0.10768,0.2603
case_0581,1,2,-0.25487,0.1980
case_0582,1,2,-0.23709,0.3439
case_0583,3,2,-0.16566,0.3145
case_0584,1,1,-0.25780,0.3337
case_0585,1,2,-0.28833,0.1703
case_0586,1,2,-0.16838,0.3271
case_0587,3,2,-0.22711,0.2499
case_0588,3,1,-0.13319,0.3004
case_0589,1,2,-0.28290,0.1747
case_0590,1,2,-0.09587,0.2528
case_0591,3,2,-0.09071,0.2731
case_0592,1,2,-0.07196,0.1236
case_0593,3,1,-0.24625,0.1267
case_0594,3,2,-0.28190,0.1179
case_0595,3,1,-0.10547,0.2738
case_0596,3,2,-0.02776,0.2374
case_0597,1,2,-0.24739,0.2807
case_0598,3,2,-0.27033,0.3688
case_0599,3,1,-0.22547,0.2354
case_0600,1,2,-0.09267,0.3096
case_0601,3,1,-0.23438,0.2311
case_0602,3,2,-0.11769,0.3495
case_0603,1,2,-0.14527,0.3815
case_0604,3,2,-0.26839,0.3992
case_0605,3,1,-0.05911,0.1383
case_0606,1,1,-0.17960,0.1591
case_0607,3,1,-0.13453,0.1335
case_0608,3,2,-0.29470,0.3540
case_0609,3,2,-0.21777,0.1150
case_0610,1,2,-0.26292,0.2291
case_0611,1,1,-0.24914,0.3308
case_0612,3,2,-0.18109,0.3394
case_0613,1,2,-0.09911,0.1314
case_0614,1,1,-0.13528,0.1037
case_0615,1,1,-0.28172,0.1903
case_0616,1,1,-0.01294,0.2058
case_0617,3,2,-0.28886,0.1838
case_0618,3,2,-0.12462,0.3242
case_0619,1,2,-0.14619,0.2705
case_0620,1,1,-0.28776,0.2223
case_0621,1,1,-0.15858,0.1718
case_0622,1,1,-0.20414,0.3916
case_0623,3,2,-0.16862,0.2762
case_0624,1,2,-0.08693,0.3085
case_0625,3,1,-0.05995,0.3708
case_0626,3,1,-0.15306,0.3172
case_0627,3,2,-0.20475,0.2462
case_0628,3,1,-0.25941,0.2811
case_0629,3,2,-0.01663,0.2890
case_0630,3,2,-0.22603,0.3232
case_0631,1,1,-0.20448,0.3042
case_0632,3,2,-0.04760,0.1519
case_0633,1,2,-0.27293,0.3980
case_0634,1,1,-0.17799,0.1544
case_0635,1,1,-0.21399,0.1045
case_0636,3,2,-0.03171,0.2827
case_0637,3,2,-0.27370,0.3034
case_0638,3,1,-0.24418,0.1596
case_0639,3,2,-0.06643,0.1095
case_0640,1,1,-0.06996,0.1767
case_0641,3,1,-0.17838,0.3402
case_0642,3,1,-0.18678,0.1646
case_0643,1,1,-0.26575,0.3985
case_0644,1,2,-0.13227,0.3535
case_0645,1,1,-0.20598,0.1787
case_0646,1,2,-0.09831,0.3954
case_0647,3,2,-0.28397,0.1294
case_0648,3,1,-0.01110,0.3957
case_0649,1,1,-0.04200,0.2169
case_0650,1,1,-0.26098,0.1466
case_0651,3,2,-0.19448,0.3963
case_0652,3,2,-0.05296,0.3023
case_0653,3,1,-0.12765,0.1485
case_0654,1,2,-0.06413,0.1531
case_0655,1,1,-0.28320,0.1775
case_0656,1,1,-0.29612,0.1764
case_0657,3,2,-0.18463,0.3158
case_0658,1,1,-0.20142,0.2906
case_0659,1,1,-0.16276,0.3215
case_0660,3,2,-0.14096,0.3379
case_0661,3,2,-0.16909,0.2301
case_0662,1,1,-0.20207,0.2396
case_0663,3,1,-0.18728,0.1390
case_0664,3,2,-0.10680,0.2882
case_0665,3,2,-0.14519,0.2253
case_0666,3,1,-0.23559,0.2530
case_0667,1,1,-0.17938,0.3508
case_0668,3,2,-0.24660,0.2444
case_0669,1,1,-0.11018,0.3744
case_0670,1,1,-0.27415,0.3244
case_0671,3,2,-0.21835,0.3651
case_0672,1,1,-0.05222,0.2372
case_0673,3,1,-0.08004,0.3467
case_0674,1,2,-0.03000,0.2926
case_0675,3,1,-0.15441,0.1616
case_0676,1,1,-0.10726,0.1171
case_0677,3,2,-0.28642,0.3434
case_0678,1,1,-0.16032,0.3529
case_0679,1,1,-0.21900,0.1048
case_0680,3,2,-0.28145,0.3765
case_0681,1,1,-0.15331,0.3166
case_0682,3,2,-0.11487,0.2083
case_0683,3,2,-0.10784,0.1363
case_0684,1,1,-0.10748,0.2641
case_0685,3,2,-0.13191,0.2862
case_0686,1,1,-0.28702,0.1616
case_0687,1,1,-0.23802,0.1512
case_0688,1,2,-0.20592,0.3008
case_0689,3,1,-0.01945,0.1102
case_0690,3,1,-0.08256,0.1623
case_0691,3,2,-0.11780,0.2865
case_0692,3,1,-0.11102,0.3945
case_0693,1,1,-0.13383,0.1778
case_0694,3,2,-0.13359,0.2781
case_0695,1,1,-0.17447,0.1481
case_0696,1,2,-0.18900,0.1918
