case_id,material_changing,group_changing,slope_up,cut_time
case_0150,3,2,-0.02153,0.1751
case_0153,3,2,-0.06428,0.163
case_0154,1,2,-0.19953,0.109
case_0156,1,1,-0.12018,0.1199
case_0160,3,2,-0.14265,0.1207
case_0161,3,2,-0.1196,0.1146
case_0162,1,1,-0.12703,0.1854
case_0165,3,1,-0.05314,0.3574
case_0166,3,2,-0.0656,0.2792
case_0169,1,2,-0.03253,0.373
case_0170,1,2,-0.14946,0.2973
case_0171,1,2,-0.02565,0.3473
case_0172,1,2,-0.11828,0.1106
case_0173,1,2,-0.02637,0.3396
case_0176,3,1,-0.16347,0.1674
case_0177,3,2,-0.04775,0.2681
case_0179,1,2,-0.19219,0.2313
case_0181,3,1,-0.11887,0.1846
case_0182,1,2,-0.23053,0.1556
case_0183,3,2,-0.18511,0.1474
case_0186,3,2,-0.04749,0.3131
case_0187,1,2,-0.02447,0.2753
case_0188,1,2,-0.05155,0.3786
case_0190,1,2,-0.0694,0.2813
case_0191,3,2,-0.14434,0.295
case_0193,3,2,-0.04237,0.3547
case_0194,1,2,-0.29299,0.151
case_0196,3,2,-0.1749,0.1799
case_0198,1,1,-0.11517,0.1251
case_0199,1,1,-0.07324,0.1292
case_0201,1,2,-0.15034,0.2026
case_0202,3,1,-0.13506,0.105
case_0204,1,1,-0.0708,0.2082
case_0206,1,2,-0.09449,0.1599
case_0210,1,2,-0.26499,0.1378
case_0211,1,1,-0.04068,0.3248
case_0213,3,1,-0.08203,0.2178
case_0215,1,2,-0.06691,0.3312
case_0216,3,1,-0.10226,0.2126
case_0217,3,2,-0.01127,0.1922
case_0224,1,1,-0.24456,0.1039
case_0226,3,2,-0.11302,0.2882
case_0228,1,2,-0.17973,0.1909
case_0230,1,1,-0.18747,0.1469
case_0232,3,1,-0.08532,0.1695
case_0233,1,2,-0.27,0.1539
case_0235,1,2,-0.02754,0.3441
case_0238,1,2,-0.07954,0.2162
case_0240,3,1,-0.08378,0.3029
case_0241,1,2,-0.03166,0.3448
case_0242,1,2,-0.19836,0.1051
case_0244,1,1,-0.06254,0.3982
case_0248,1,2,-0.03155,0.3605
case_0249,1,2,-0.24032,0.1882
case_0250,1,2,-0.20659,0.13
case_0252,3,2,-0.1805,0.2046
case_0253,3,1,-0.12341,0.2537
case_0254,3,1,-0.03559,0.3093
case_0256,1,1,-0.06999,0.1639
case_0257,3,1,-0.21554,0.1062
case_0259,3,1,-0.11649,0.2099
case_0260,1,2,-0.21185,0.1952
case_0263,1,1,-0.167,0.1664
case_0265,1,1,-0.04647,0.2193
case_0266,1,2,-0.04741,0.3895
case_0267,1,2,-0.03379,0.3965
case_0271,3,2,-0.03529,0.1181
case_0272,1,1,-0.04444,0.3861
case_0275,3,1,-0.02829,0.3163
case_0276,1,2,-0.12549,0.3002
case_0278,3,1,-0.22156,0.1411
case_0279,1,2,-0.0871,0.2784
case_0280,3,1,-0.12861,0.1058
case_0283,3,1,-0.08819,0.3432
case_0284,3,2,-0.09027,0.2147
case_0286,3,1,-0.06432,0.3665
case_0289,3,2,-0.09007,0.2768
case_0291,1,2,-0.08373,0.3356
case_0295,3,2,-0.07816,0.3902
case_0297,3,1,-0.0157,0.1156
case_0298,1,1,-0.08615,0.2065
case_0299,3,1,-0.02982,0.1138
case_0301,1,2,-0.19699,0.1966
case_0304,1,1,-0.21059,0.1312
case_0307,1,1,-0.02016,0.3154
case_0308,3,2,-0.19065,0.111
case_0309,1,1,-0.06544,0.1056
case_0310,3,1,-0.13736,0.155
case_0312,3,1,-0.26183,0.1042
case_0313,1,2,-0.21051,0.2022
case_0314,3,2,-0.09924,0.3859
case_0316,3,2,-0.2428,0.1501
case_0318,3,1,-0.07915,0.1097
case_0319,1,2,-0.09634,0.2547
case_0320,1,2,-0.08087,0.3136
case_0321,1,1,-0.05596,0.2215
case_0322,3,2,-0.2702,0.104
case_0323,3,1,-0.02254,0.1762
case_0324,3,2,-0.0778,0.3156
case_0325,3,2,-0.28003,0.1202
case_0326,1,2,-0.24491,0.1359
case_0327,1,2,-0.08102,0.3355
case_0328,3,1,-0.05115,0.2953
case_0329,3,1,-0.0756,0.3809
case_0331,3,1,-0.01717,0.1939
case_0336,3,2,-0.14993,0.1562
case_0339,1,2,-0.16435,0.2169
case_0340,3,2,-0.07467,0.3575
case_0341,3,2,-0.08391,0.217
case_0343,1,2,-0.12808,0.2883
case_0344,3,2,-0.27014,0.1597
case_0345,3,1,-0.09442,0.2896
case_0347,1,2,-0.06915,0.3388
case_0349,3,1,-0.07347,0.1721
case_0352,3,1,-0.04995,0.2587
case_0354,1,2,-0.06655,0.16
case_0361,1,2,-0.10573,0.1557
case_0363,3,1,-0.08271,0.3815
case_0365,3,1,-0.14585,0.1425
case_0369,3,2,-0.05557,0.283
case_0370,3,2,-0.10859,0.2471
case_0371,3,1,-0.01166,0.2189
case_0372,1,2,-0.1261,0.2358
case_0374,1,1,-0.06293,0.1698
case_0375,3,2,-0.19575,0.1343
case_0376,3,1,-0.05187,0.3584
case_0379,1,1,-0.20051,0.1383
case_0385,1,2,-0.15058,0.1174
case_0386,1,2,-0.14916,0.1381
case_0390,1,1,-0.17827,0.1437
case_0391,3,1,-0.16521,0.1963
case_0392,3,1,-0.03571,0.3988
case_0393,3,2,-0.09808,0.3342
case_0395,3,1,-0.09967,0.275
case_0396,3,2,-0.06985,0.1248
case_0399,1,2,-0.07243,0.3655
case_0400,1,2,-0.13865,0.1874
case_0401,1,2,-0.03918,0.1745
case_0403,1,2,-0.01687,0.2016
case_0405,1,1,-0.08632,0.1234
case_0406,1,1,-0.16191,0.1572
case_0408,1,1,-0.05536,0.3178
case_0411,3,1,-0.23489,0.1322
case_0412,1,2,-0.22851,0.1663
case_0413,3,2,-0.15761,0.2668
case_0415,3,2,-0.11676,0.266
case_0417,3,2,-0.14829,0.2055
case_0419,3,1,-0.03864,0.3068
case_0421,3,1,-0.13238,0.2053
case_0422,1,2,-0.09384,0.353
case_0423,1,2,-0.04399,0.2015
case_0424,1,2,-0.02808,0.3049
case_0425,1,2,-0.03987,0.3179
case_0426,3,1,-0.13502,0.2146
case_0427,3,1,-0.02545,0.3678
case_0428,3,1,-0.05344,0.2173
case_0429,3,1,-0.12255,0.1396
case_0431,1,1,-0.17885,0.1356
case_0434,3,2,-0.07611,0.2957
case_0436,3,1,-0.08289,0.3045
case_0437,3,2,-0.19523,0.204
case_0438,1,2,-0.12125,0.2377
case_0444,1,2,-0.01608,0.3417
case_0445,3,1,-0.06797,0.3812
case_0446,1,2,-0.1337,0.294
case_0447,3,2,-0.08842,0.1757
case_0450,1,2,-0.0376,0.2639
case_0451,1,1,-0.04298,0.2741
case_0452,3,1,-0.11615,0.1032
case_0457,3,2,-0.08778,0.3426
case_0459,3,1,-0.15024,0.2005
case_0461,1,2,-0.10457,0.164
case_0465,1,1,-0.05712,0.1684
case_0467,3,2,-0.13961,0.1263
case_0468,1,1,-0.1231,0.1924
case_0470,1,1,-0.2273,0.1169
case_0472,1,2,-0.04017,0.3382
case_0474,3,1,-0.04628,0.1088
case_0477,1,1,-0.0252,0.2555
case_0480,3,2,-0.16821,0.1711
case_0481,3,2,-0.01185,0.1436
case_0482,1,2,-0.02694,0.3209
case_0483,3,1,-0.0584,0.3785
case_0487,3,2,-0.15266,0.2216
case_0488,1,2,-0.04044,0.214
case_0490,3,2,-0.08973,0.2588
case_0491,3,1,-0.11429,0.2418
case_0493,3,2,-0.08236,0.1102
case_0494,1,2,-0.1762,0.2234
case_0495,3,2,-0.1174,0.2791
case_0496,3,2,-0.26682,0.1486
case_0497,1,2,-0.05883,0.3555
case_0498,3,1,-0.15101,0.1461
case_0501,1,1,-0.19597,0.1162
case_0503,3,2,-0.10264,0.2676
case_0504,3,2,-0.08472,0.195
case_0508,1,2,-0.04421,0.3964
case_0509,1,2,-0.04093,0.267
case_0511,1,1,-0.0723,0.3399
case_0512,3,2,-0.0314,0.2978
case_0513,3,1,-0.14457,0.2137
case_0514,1,1,-0.03278,0.233
case_0515,1,1,-0.16626,0.1843
case_0517,1,2,-0.09167,0.299
case_0519,1,1,-0.08741,0.2943
case_0520,1,1,-0.10153,0.1424
case_0521,1,1,-0.05074,0.3545
case_0522,3,1,-0.24673,0.1197
case_0524,1,2,-0.05806,0.1716
case_0525,3,1,-0.0592,0.2795
case_0527,1,1,-0.0354,0.263
case_0528,3,1,-0.04157,0.1564
case_0530,3,2,-0.03078,0.2132
case_0532,1,1,-0.15269,0.1027
case_0534,3,2,-0.01802,0.3061
case_0535,3,1,-0.06133,0.2056
case_0536,3,2,-0.09364,0.1655
case_0537,1,2,-0.10432,0.2225
case_0538,3,1,-0.12557,0.1474
case_0540,1,1,-0.07962,0.2744
case_0542,1,2,-0.05055,0.185
case_0543,1,1,-0.03767,0.2876
case_0544,3,1,-0.02928,0.1651
case_0545,1,2,-0.0978,0.3187
case_0546,3,2,-0.18341,0.1114
case_0549,3,2,-0.06059,0.2571
case_0550,1,1,-0.06216,0.1754
case_0551,3,1,-0.05323,0.2905
case_0554,1,1,-0.16536,0.1712
case_0555,1,2,-0.11164,0.2558
case_0558,3,2,-0.22904,0.1227
case_0559,1,2,-0.10605,0.1385
case_0560,3,1,-0.05834,0.3759
case_0561,3,2,-0.11632,0.1124
case_0562,3,2,-0.06511,0.3423
case_0565,3,2,-0.17269,0.1972
case_0567,1,2,-0.08335,0.2589
case_0568,1,2,-0.01535,0.3642
case_0569,1,2,-0.05437,0.1067
case_0570,3,2,-0.03904,0.2267
case_0571,3,2,-0.16952,0.1889
case_0575,3,2,-0.06718,0.287
case_0576,3,1,-0.06961,0.2059
case_0577,3,2,-0.09155,0.3403
case_0578,3,1,-0.03628,0.2715
case_0580,1,2,-0.10768,0.2603
case_0590,1,2,-0.09587,0.2528
case_0591,3,2,-0.09071,0.2731
case_0592,1,2,-0.07196,0.1236
case_0593,3,1,-0.24625,0.1267
case_0594,3,2,-0.2819,0.1179
case_0595,3,1,-0.10547,0.2738
case_0596,3,2,-0.02776,0.2374
case_0600,1,2,-0.09267,0.3096
case_0602,3,2,-0.11769,0.3495
case_0605,3,1,-0.05911,0.1383
case_0606,1,1,-0.1796,0.1591
case_0607,3,1,-0.13453,0.1335
case_0609,3,2,-0.21777,0.115
case_0613,1,2,-0.09911,0.1314
case_0614,1,1,-0.13528,0.1037
case_0616,1,1,-0.01294,0.2058
case_0618,3,2,-0.12462,0.3242
case_0619,1,2,-0.14619,0.2705
case_0621,1,1,-0.15858,0.1718
case_0624,1,2,-0.08693,0.3085
case_0625,3,1,-0.05995,0.3708
case_0629,3,2,-0.01663,0.289
case_0632,3,2,-0.0476,0.1519
case_0634,1,1,-0.17799,0.1544
case_0635,1,1,-0.21399,0.1045
case_0636,3,2,-0.03171,0.2827
case_0639,3,2,-0.06643,0.1095
case_0640,1,1,-0.06996,0.1767
case_0642,3,1,-0.18678,0.1646
case_0646,1,2,-0.09831,0.3954
case_0647,3,2,-0.28397,0.1294
case_0648,3,1,-0.0111,0.3957
case_0649,1,1,-0.042,0.2169
case_0652,3,2,-0.05296,0.3023
case_0653,3,1,-0.12765,0.1485
case_0654,1,2,-0.06413,0.1531
case_0661,3,2,-0.16909,0.2301
case_0663,3,1,-0.18728,0.139
case_0664,3,2,-0.1068,0.2882
case_0665,3,2,-0.14519,0.2253
case_0672,1,1,-0.05222,0.2372
case_0673,3,1,-0.08004,0.3467
case_0674,1,2,-0.03,0.2926
case_0675,3,1,-0.15441,0.1616
case_0676,1,1,-0.10726,0.1171
case_0679,1,1,-0.219,0.1048
case_0682,3,2,-0.11487,0.2083
case_0683,3,2,-0.10784,0.1363
case_0684,1,1,-0.10748,0.2641
case_0685,3,2,-0.13191,0.2862
case_0689,3,1,-0.01945,0.1102
case_0690,3,1,-0.08256,0.1623
case_0691,3,2,-0.1178,0.2865
case_0693,1,1,-0.13383,0.1778
case_0694,3,2,-0.13359,0.2781
case_0695,1,1,-0.17447,0.1481
case_0696,1,2,-0.189,0.1918
case_0697,3,2,-0.08667,0.2508
case_0701,3,1,-0.1214,0.2207
case_0702,1,2,-0.26253,0.136
case_0703,1,2,-0.20376,0.1454
case_0705,1,1,-0.1472,0.1592
case_0706,1,1,-0.01404,0.2486
case_0707,1,2,-0.13831,0.2153
case_0708,1,1,-0.08815,0.2651
case_0709,1,1,-0.05231,0.1225
case_0710,3,2,-0.15384,0.1477
case_0711,1,2,-0.13776,0.1463
case_0712,1,2,-0.11486,0.2172
case_0716,3,2,-0.11248,0.2593
case_0718,3,2,-0.03672,0.2933
case_0721,1,2,-0.10413,0.1987
case_0722,1,2,-0.02875,0.226
case_0728,3,2,-0.04825,0.3786
case_0731,1,2,-0.29036,0.1083
case_0737,3,1,-0.07763,0.112
case_0740,3,1,-0.15673,0.101
case_0742,3,2,-0.27387,0.1145
case_0743,1,2,-0.074,0.1241
case_0744,1,2,-0.02863,0.1904
case_0750,3,2,-0.06306,0.2434
case_0751,3,2,-0.08941,0.2705
case_0752,3,1,-0.12618,0.2184
case_0753,1,2,-0.23916,0.1036
case_0755,1,2,-0.17132,0.1602
case_0756,1,2,-0.07307,0.3781
case_0758,1,2,-0.01421,0.2773
case_0759,3,1,-0.02606,0.146
case_0764,1,2,-0.06168,0.1626
case_0768,3,2,-0.04672,0.2441
case_0769,3,2,-0.2893,0.1375
case_0771,1,2,-0.06816,0.2909
case_0772,1,1,-0.07976,0.1296
case_0773,3,1,-0.13946,0.1148
case_0774,3,2,-0.28264,0.1507
case_0776,3,2,-0.04116,0.3203
case_0780,1,1,-0.11349,0.1423
case_0782,1,1,-0.14274,0.1365
case_0783,1,1,-0.04607,0.2604
case_0784,3,1,-0.28609,0.1103
case_0786,3,2,-0.11463,0.2832
case_0788,3,2,-0.05203,0.1422
case_0790,3,2,-0.06205,0.284
case_0792,1,1,-0.13634,0.1015
case_0793,1,2,-0.06086,0.3035
case_0796,1,2,-0.28257,0.1085
case_0797,1,2,-0.10246,0.1856
case_0799,3,2,-0.16459,0.1959
case_0800,3,1,-0.05253,0.1621
case_0801,1,1,-0.20665,0.1392
case_0802,1,1,-0.0648,0.3966
case_0803,3,2,-0.12148,0.1342
case_0806,3,1,-0.032,0.2134
case_0808,3,2,-0.10133,0.3102
case_0809,3,1,-0.09768,0.2872
case_0811,1,1,-0.02766,0.1215
case_0813,3,2,-0.05906,0.2807
case_0815,1,1,-0.07767,0.3615
case_0816,1,2,-0.22133,0.1417
case_0817,3,1,-0.03339,0.2826
case_0819,3,2,-0.08136,0.243
case_0821,3,2,-0.09754,0.2115
case_0824,3,1,-0.08983,0.2209
case_0826,1,2,-0.22007,0.1481
case_0827,1,2,-0.06152,0.1174
case_0829,1,1,-0.1045,0.1948
case_0834,1,2,-0.0813,0.2318
case_0836,3,1,-0.086,0.3021
case_0839,3,1,-0.09616,0.2819
case_0841,3,2,-0.08837,0.2255
case_0842,3,2,-0.0972,0.1984
case_0844,1,2,-0.12295,0.1059
case_0845,1,1,-0.12709,0.1528
case_0846,1,1,-0.02186,0.3626
case_0849,1,1,-0.19617,0.1197
case_0852,3,2,-0.1975,0.2181
case_0857,3,1,-0.03968,0.3087
case_0858,1,2,-0.04177,0.286
case_0859,1,2,-0.0126,0.3875
case_0860,1,2,-0.01879,0.3756
case_0862,1,2,-0.09109,0.2788
case_0864,3,2,-0.07172,0.1081
case_0865,3,2,-0.1465,0.2672
case_0866,3,1,-0.03391,0.2527
case_0867,1,1,-0.07014,0.2102
case_0870,3,1,-0.13697,0.1038
case_0872,3,2,-0.10983,0.3978
case_0873,3,1,-0.03374,0.3012
case_0874,3,2,-0.10759,0.1
case_0875,3,1,-0.04971,0.1822
case_0877,3,2,-0.17154,0.1955
case_0879,1,2,-0.03192,0.3229
case_0880,1,2,-0.06927,0.3948
case_0882,3,2,-0.14304,0.2871
case_0883,1,1,-0.05401,0.1158
case_0886,1,2,-0.10122,0.2013
case_0888,3,1,-0.25655,0.1099
case_0889,1,1,-0.16601,0.1259
case_0890,1,2,-0.17105,0.2599
case_0892,3,1,-0.1161,0.1116
case_0893,1,2,-0.10206,0.3827
case_0894,3,2,-0.03088,0.3415
case_0895,3,1,-0.08413,0.1753
case_0898,1,2,-0.02722,0.3343
case_0899,1,2,-0.02613,0.1917
case_0900,1,1,-0.05519,0.1234
case_0902,3,2,-0.2615,0.1064
case_0904,1,2,-0.16545,0.2726
case_0905,3,2,-0.09725,0.1343
case_0907,1,2,-0.04695,0.3067
case_0908,1,1,-0.01267,0.3333
case_0909,3,1,-0.05278,0.1313
case_0910,1,1,-0.11104,0.2387
case_0911,1,2,-0.13589,0.2174
case_0913,1,1,-0.11257,0.2556
case_0914,1,1,-0.01521,0.2836
case_0915,1,2,-0.10166,0.1683
case_0916,3,1,-0.07218,0.2842
case_0917,1,1,-0.1157,0.1556
case_0920,3,2,-0.01493,0.289
case_0922,3,2,-0.22222,0.161
case_0923,3,2,-0.1305,0.1447
case_0926,3,2,-0.08735,0.1992
case_0929,1,2,-0.06935,0.3166
case_0930,1,1,-0.11039,0.1295
case_0931,1,2,-0.07379,0.1515
case_0932,3,1,-0.24889,0.102
case_0934,3,1,-0.05932,0.3291
case_0935,1,2,-0.03875,0.1627
case_0937,3,2,-0.06602,0.1208
case_0938,1,1,-0.03718,0.272
case_0939,3,1,-0.04939,0.3877
case_0940,1,2,-0.15303,0.2804
case_0941,1,1,-0.07731,0.3128
case_0942,3,2,-0.02458,0.1073
case_0943,3,2,-0.25887,0.11
case_0947,1,2,-0.13006,0.282
case_0948,3,2,-0.20197,0.1061
case_0949,3,1,-0.09644,0.1221
case_0950,1,2,-0.04944,0.2971
case_0955,1,2,-0.07411,0.1105
case_0956,1,2,-0.08888,0.1385
case_0958,3,1,-0.04539,0.3795
case_0963,1,1,-0.11589,0.1412
case_0964,1,2,-0.09099,0.2114
case_0965,1,2,-0.04888,0.3624
case_0966,1,2,-0.14984,0.208
case_0970,3,2,-0.13063,0.1216
case_0973,1,1,-0.12428,0.1222
case_0975,1,2,-0.15175,0.1298
case_0979,1,1,-0.26024,0.1121
case_0980,3,1,-0.10096,0.2564
case_0981,3,1,-0.06801,0.3888
case_0982,1,2,-0.15006,0.1123
case_0983,3,2,-0.17868,0.1503
case_0984,1,1,-0.05952,0.2796
case_0985,3,1,-0.09859,0.1141
case_0986,1,1,-0.01735,0.1067
case_0988,3,1,-0.05663,0.1268
case_0989,1,2,-0.08162,0.1574
case_0994,1,1,-0.02464,0.3052
case_0995,3,2,-0.05618,0.162
case_0997,1,1,-0.11392,0.1397
case_0998,1,1,-0.10627,0.2572
case_0999,3,2,-0.06271,0.2309
case_1000,1,1,-0.04287,0.1204
case_1002,3,1,-0.09958,0.3168
case_1005,1,2,-0.03018,0.1681
case_1006,1,1,-0.16614,0.134
case_1007,1,1,-0.04919,0.2344
case_1009,3,2,-0.08023,0.2626
case_1010,1,2,-0.13198,0.2017
case_1011,3,1,-0.19982,0.1272
case_1016,3,2,-0.05643,0.3368
case_1018,3,1,-0.02033,0.3843
case_1020,1,2,-0.13173,0.3273
case_1021,1,1,-0.08094,0.1308
case_1023,1,2,-0.07057,0.296
case_1024,1,1,-0.16364,0.1118
case_1027,3,2,-0.08225,0.3287
case_1031,1,2,-0.17507,0.223
case_1032,3,2,-0.0712,0.3765
case_1033,1,2,-0.23376,0.1635
case_1034,1,2,-0.11207,0.3792
case_1035,1,1,-0.02354,0.1281
case_1036,3,2,-0.02479,0.2159
case_1038,1,1,-0.12039,0.2104
case_1041,1,1,-0.08121,0.3226
case_1042,1,1,-0.10347,0.1863
case_1046,3,1,-0.0486,0.3987
case_1050,1,1,-0.08921,0.351
case_1051,3,1,-0.01586,0.1877
case_1056,3,2,-0.04879,0.3169
case_1057,3,1,-0.13299,0.1524
case_1058,3,2,-0.29897,0.1127
case_1059,1,2,-0.05687,0.2458
case_1063,1,1,-0.10211,0.1202
case_1066,3,1,-0.04569,0.1789
case_1067,1,1,-0.02841,0.2939
case_1068,1,2,-0.0684,0.3384
case_1069,3,2,-0.16254,0.268
case_1070,1,1,-0.11845,0.2303
case_1072,1,2,-0.01756,0.3581
case_1073,3,2,-0.16934,0.1552
case_1077,3,2,-0.05192,0.2779
case_1079,1,1,-0.21261,0.1345
case_1080,3,1,-0.02375,0.1279
case_1082,1,2,-0.11238,0.2648
case_1083,1,2,-0.09994,0.2159
case_1087,3,2,-0.14172,0.1288
case_1088,3,2,-0.05735,0.253
case_1090,3,1,-0.02146,0.2455
case_1091,3,2,-0.15908,0.2113
case_1092,3,2,-0.06346,0.2993
case_1095,3,1,-0.25087,0.1238
case_1098,1,1,-0.13092,0.1133
case_1100,1,2,-0.12891,0.192
case_1101,3,1,-0.04448,0.2857
case_1103,1,2,-0.0514,0.2719
case_1105,3,1,-0.09034,0.14
case_1106,3,1,-0.10556,0.1023
case_1108,1,1,-0.13792,0.2026
case_1111,3,2,-0.11029,0.1339
case_1112,3,2,-0.20925,0.1578
case_1113,3,1,-0.03461,0.1628
case_1116,1,2,-0.05066,0.1183
case_1119,3,2,-0.09285,0.1549
case_1121,1,2,-0.14041,0.2535
case_1123,3,2,-0.03586,0.1763
case_1124,1,1,-0.13882,0.2106
case_1126,1,1,-0.02655,0.161
case_1129,1,2,-0.09228,0.1704
case_1130,1,2,-0.03634,0.1087
case_1132,3,1,-0.0547,0.2623
case_1133,1,2,-0.19118,0.1071
case_1134,1,2,-0.19927,0.1807
case_1135,1,2,-0.13546,0.2031
case_1137,1,1,-0.0213,0.2439
case_1140,1,1,-0.06526,0.3291
case_1144,3,1,-0.1398,0.1328
case_1146,3,1,-0.07938,0.3416
case_1151,1,2,-0.26115,0.1347
case_1153,1,2,-0.23362,0.1543
case_1154,3,2,-0.23051,0.1736
case_1155,3,1,-0.06857,0.3239
case_1160,3,2,-0.01146,0.1821
case_1161,1,1,-0.16357,0.174
case_1162,1,2,-0.05748,0.1892
case_1163,3,2,-0.09257,0.1725
case_1165,1,1,-0.12061,0.1523
case_1166,3,2,-0.03682,0.1275
case_1167,3,2,-0.09497,0.2334
case_1168,1,1,-0.03825,0.2851
case_1173,3,2,-0.12182,0.1724
case_1174,3,2,-0.02493,0.2814
case_1175,1,2,-0.13257,0.2427
case_1176,1,2,-0.15086,0.3
case_1177,3,1,-0.06286,0.2858
case_1178,3,1,-0.10087,0.316
case_1180,1,1,-0.01744,0.3589
case_1183,3,2,-0.02593,0.1817
case_1185,3,2,-0.18662,0.1368
case_1188,3,2,-0.09863,0.1028
case_1190,3,2,-0.18816,0.2275
case_1191,3,2,-0.08507,0.2066
case_1197,1,2,-0.12442,0.3419
case_1200,3,1,-0.01766,0.1562
case_1202,1,2,-0.18928,0.1593
case_1203,3,2,-0.02005,0.1142
case_1204,3,2,-0.09318,0.1271
case_1206,1,1,-0.11055,0.2421
case_1207,1,1,-0.16157,0.1266
case_1208,1,1,-0.02199,0.2652
case_1209,1,2,-0.0107,0.378
case_1212,3,2,-0.18284,0.1192
case_1214,1,2,-0.05035,0.169
case_1216,1,2,-0.05288,0.1516
case_1217,1,2,-0.0239,0.3463
case_1218,3,2,-0.01834,0.248
case_1220,3,2,-0.12747,0.1366
case_1221,3,1,-0.13841,0.2362
case_1223,3,2,-0.10741,0.1172
case_1226,1,2,-0.22493,0.1496
case_1228,1,1,-0.10923,0.2836
case_1229,3,2,-0.1381,0.1074
case_1230,1,2,-0.03324,0.3819
case_1232,3,2,-0.06444,0.2615
case_1233,1,2,-0.13746,0.1835
case_1234,1,2,-0.03424,0.3438
case_1236,3,1,-0.08204,0.2579
case_1237,1,1,-0.06492,0.3435
case_1238,3,1,-0.27316,0.1206
case_1239,3,2,-0.15038,0.2646
case_1240,3,2,-0.21984,0.1435
case_1241,1,2,-0.18004,0.1738
case_1245,1,1,-0.03805,0.2657
case_1246,3,2,-0.23596,0.1408
case_1247,3,1,-0.01315,0.1873
case_1248,1,2,-0.14822,0.15
case_1249,1,2,-0.18768,0.1006
case_1250,1,2,-0.02692,0.3863
case_1252,3,2,-0.0847,0.1403
case_1255,1,1,-0.06456,0.3489
case_1257,1,2,-0.13906,0.242
case_1258,3,1,-0.10998,0.1759
